1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
LT279828RU	2242	642	807	3188	9091	13976	18715	16965	20985	22871	18374	18937	19722	26814	27688	35636	195711	729201	87499	614247	366844	1402337	244535	133483	12621	13797	19973	19081	21366	25943	24275	4567	385	0	792091
LT162479RU	1870	507	1122	1256	3791	7768	9076	17215	25509	26618	24048	23213	26307	33652	32680	44646	105022	370759	117583	1126381	552867	1885171	483374	256188	16564	17094	26524	22575	25029	25331	24958	5139	523	0	619064
LT244399LU	2561	674	1454	1694	6144	10569	9644	17280	20242	19607	15435	15089	20174	29719	23532	28653	26038	47637	52801	605709	371708	1158284	391701	401938	19806	12748	20053	18378	18839	19326	11876	2158	209	0	231997
LT051993RU	4141	2832	3335	3388	4882	7774	7820	12949	21991	20154	17017	15047	16648	25376	21616	29346	34271	74531	60655	584135	337125	1194665	363155	197081	15556	14263	24794	20963	23627	26029	19101	4605	661	1	735613
LT191675RL	1639	646	593	831	3623	7382	8150	12135	13958	14899	15296	15327	17211	19155	17984	24810	132066	498161	56494	386142	231824	975981	207006	248040	14041	14484	13574	12790	16972	15103	20809	5595	267	0	458929
LT266817LL	746	150	392	408	1689	3590	4416	7739	10683	12280	11375	11538	10769	12607	14330	19273	90203	332716	51060	395744	240390	919497	192032	162799	8217	7370	10576	10104	16452	12004	10159	2511	282	0	362571
LT198741LU	1373	273	740	963	2764	5964	9105	21626	26163	25143	19959	21419	21476	25752	24956	24389	23147	49189	54180	626568	331428	1006165	374542	195726	11490	9543	16287	15331	18342	16728	7909	1482	190	0	164392
LT115251RU	4535	902	1755	1479	6703	15432	15854	24570	35886	38680	27578	31670	32120	38550	40514	81283	677559	2728564	179152	607261	344197	1222380	310734	232008	22945	25775	32547	26881	33373	40937	74903	20654	649	0	2605097
LT245983LU	7925	1322	3169	2272	4776	10504	10369	22776	60316	41049	30411	27381	37264	51058	53065	79400	237632	1173478	184937	1368856	1418899	4347866	1489894	1179067	51514	44221	74262	73163	80719	56803	52265	34233	283	1	1240517
LT269763RL	8437	1929	1893	2750	5656	8986	12881	34501	50004	54118	37167	36233	41178	49977	59437	65792	117378	336451	310973	3612675	2297326	5667000	1218047	574113	45702	43597	62515	68169	78517	73219	37817	6573	872	1	665571
LT263636RU	8962	2354	2319	2451	6154	8773	9323	20617	43159	34763	25850	23446	31313	48373	47977	89923	558046	2527209	211548	901104	916988	3027646	876084	592338	48044	54645	68785	61462	75561	62383	71218	26061	516	0	1930222
LT238531RU	6119	1955	3299	2076	5436	11965	13761	32578	52640	49836	41322	42878	48574	61496	77617	92332	267723	879294	203443	1213677	1215619	5566144	1369603	969822	56433	47248	75008	75118	78453	82748	57011	11775	933	0	1122212
LT155318RL	4797	781	1397	1421	3489	8959	15827	24355	33304	38360	33467	34039	40069	48956	60983	94492	703198	3748302	297379	1394898	1136335	4285910	854151	560923	33961	38626	57422	60012	79092	79365	73117	31170	842	0	2029618
LT058319LU	2484	2465	2348	2363	2050	2385	2484	3032	3262	2905	2673	2815	2749	2960	3121	3511	6164	23051	6461	46774	32678	101673	30447	19430	2811	2676	3154	2390	3797	4203	4349	2835	361	0	463255
LT143944LL	430	111	146	134	316	621	1005	2364	3305	3936	2588	2584	2847	4074	4549	5268	12358	36194	16531	143689	101324	309821	76767	53568	3306	3480	5176	5410	6171	5871	4677	855	92	0	85023
LT185970RL	1720	293	593	286	621	1129	1288	3633	6546	5686	3741	3092	4372	6797	7015	10256	17198	43398	24659	223915	198322	798884	212853	166192	8652	6572	12243	11936	15247	11826	6766	1193	81	0	112256
LT126767LL	5386	618	1454	935	2006	4235	5262	10855	21026	17852	14453	8863	11955	23996	16416	22680	79710	533277	76279	349135	466845	1908868	908202	541351	27062	37501	36207	35513	42014	23284	17658	4058	127	0	728684
