1	2	3	4	5	6	7	8	9	10
LT206871LU	2832405	1191382	217526	21575	15900	13146	20916	21657	21559	4577
LT096430LU	850795	428817	75317	7375	5841	6890	13754	11392	9144	2428
LT144462RU	5214396	1784850	467430	44928	25256	22541	20314	20774	16948	10715
LT047152LL	8222208	2059323	741910	56499	32604	18735	13236	30540	10435	16443
LT109231RU	4206465	1847802	400003	31670	25418	17442	24136	28414	27332	10915
LT173597LL	4048404	1513737	369531	47406	34778	33107	49230	48623	36732	14849
LT285906LL	1714004	751112	157179	15692	6620	4425	4207	4784	2631	4020
LT075462RU	4461654	1893823	437833	34684	21336	19451	25148	13729	15351	11133
LT016556LU	3357339	1274066	333341	30675	14977	28315	47135	17844	16402	7441
LT171097RL	3668067	1527540	391084	30247	17581	11154	8472	10677	7663	10043
LT297451LU	3003302	1595666	282498	33415	16896	16992	27091	13796	11526	8156
LT120371LL	4681756	1387203	557719	37575	19993	11017	8570	10918	5901	11676
LT076421LL	2882903	1327333	308427	30794	19319	25137	55727	17093	19428	6647
LT285671LU	3470399	1815495	376869	46064	20862	16727	28571	15314	10801	8729
LT076617LL	2779987	1511728	247488	23375	19972	20738	41068	23467	22166	6500
LT236519LL	2474490	1221820	236953	27868	37796	51009	154872	63336	59060	9992
LT012861RU	3598038	1728511	370501	30730	14225	9306	11377	10897	5307	9624
LT196309RL	3734350	1602179	320201	36383	18013	19537	47714	15673	12056	6522
LT006946RM	3199533	1351625	401158	25149	14290	9644	10879	11982	10904	6552
LT007392RU	4662986	1323716	516685	28169	17866	30476	20849	11716	15696	8203
LT005419RU	3233431	1396521	394177	26506	19900	31085	50790	25133	24641	7248
LT206010LU	3617379	1781124	408852	21851	19874	10256	10183	8047	8825	9098
LT078347LL	2464906	1620705	231958	21238	15800	24901	85786	28803	22213	6037
LT213352LU	3632444	1781953	457986	31372	22315	16434	17732	13278	16018	9222
LT277811RL	2322593	1239787	232900	34729	28536	32830	101310	34613	25101	7500
LT071706RL	5449707	1244990	551154	49638	19867	11318	6989	11161	3869	9454
LT141224LL	3959948	1318704	453187	24188	15140	6428	4830	7256	3382	9358
LT248906LL	3903679	1016460	326291	37663	20957	16719	14502	17528	14749	9028
LT197511LU	3731457	1539769	333651	48490	27690	30638	30801	20809	30130	11991
LT242161RL	4031743	1533958	370736	44121	28422	24459	19315	25674	32731	11922
LT106519RL	4992447	1716338	389648	70471	43907	24638	31901	35647	69716	15160
LT0249481LU	1477064	497722	125512	14628	7472	5947	5834	5546	5564	3836
LT150981RU	2154993	1344096	185311	22107	18464	36348	94381	39618	48548	7592
LT180758RM	3854861	1775542	290187	34096	17541	19824	23373	21984	18501	7808
LT076181LI	5346117	1491895	494959	40074	29304	19033	14004	20379	26770	10576
LT062121LL	2726451	1190312	249701	32539	28991	35939	92867	47076	59877	7171
LT037710RU	2385621	988021	233972	23959	16639	14760	12775	13349	17734	7573
LT246994RU	3010541	1382328	254644	37395	26206	50511	60500	47276	60885	10567
LT165114RU	4840022	1361541	444478	49808	26204	17010	20653	19148	25142	12362
LT288719RL	5323411	1449464	479228	45029	30354	23765	19391	21529	30133	12397
LT280646RU	1254433	450357	126839	11387	5781	3437	3237	2745	2201	3130
LT012933RL	4593704	1330413	416728	58559	29759	36417	27849	25285	28386	13267
LT176510LU	653005	476671	46566	10611	8927	21473	145425	29877	23810	5019
LT032411RU	2853726	1895120	260182	29205	19194	35301	68934	24698	39424	7513
LT087826LL	4076440	2043228	421287	45389	45573	28168	42677	68194	41392	18089
LT118064RL	2438454	1162577	234760	24175	44694	39780	61637	42564	101828	8285
LT125521LL	3404436	930616	288540	119171	25940	14004	16110	21181	28537	7837
LT062141RL	865186	448191	106439	7490	5080	3689	6898	2757	6026	2417
LT030151RU	830029	504255	85841	7820	3916	3972	9439	3329	6467	1665
LT119682RL	1146456	396626	128397	8681	4825	3563	3340	2347	3040	3438
LT273284LL	630171	445319	61927	5466	5127	5397	22657	7329	11052	1645
LT233821RL	970402	301247	119805	6776	3507	2238	3867	2278	2143	1769
LT017811RM	732537	277644	73985	8571	4080	4135	6058	3276	5001	1813
LT108067RU	1055445	383870	130205	7538	4867	3017	2260	3021	4050	2294
LT089958RL	709336	317385	69065	8689	4512	4463	11003	3726	7308	1969
LT259072LU	736659	258484	84895	8379	3724	2754	2027	1945	2599	2241
LT166111RU	3850691	1234585	391993	79928	15448	11245	31189	12756	12200	7832
LT139691RU	5689308	2022822	599294	46924	24517	18617	17499	18612	25342	14082
LT096554LU	2473228	899525	310457	19764	9653	7232	8736	4562	4189	4882
LT017275LL	3650386	2872367	350611	33504	23446	35798	199124	41401	87705	8977
LT079487LL	4260873	2141962	449568	27104	18279	14781	43625	18458	25316	6721
LT142933RU	4406027	1805414	498003	27709	23377	14961	28859	14443	31100	14527
LT024857LU	3848410	2054077	355880	46798	25989	20592	73602	35574	45635	10519
LT222755RL	3916044	1807168	487459	39420	17765	12645	14228	9832	12886	10496
LT072789RU	2995301	1432434	272750	26163	17913	21491	93168	21970	44713	5914
LT197381LI	2035725	1266301	205208	20252	12185	12793	71674	26835	27386	6112
LT262371RM	4272137	1747836	468984	39459	24006	20048	44552	17985	31497	10996
LT264283RL	7345559	1891475	582265	59957	34337	22893	22932	28746	34102	13514
LT190004RU	3042015	1394308	248960	25707	17191	28581	105824	28584	46368	7651
LT045399RL	4339188	1693026	463906	51790	22740	22063	23319	21363	32259	10966
LT177521RU	2297654	984393	260446	16850	12669	7576	7294	5479	9920	6021
LT158795LL	4546292	2797315	501723	42759	41928	22887	29892	30809	57514	35850
LT083759RL	9043322	2287424	775710	79419	47796	27344	22704	22037	14675	21435
LT280851LL	3360109	1867811	306947	31928	26168	28830	60920	35998	71779	10140
LT235441RL	5649911	1994087	532932	38910	24877	17490	19813	15339	32220	10705
