1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
LT058319LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1753	2322	5167	3861	4872	44732	30211	97764	26152	16198	544	404	1095	1044	1038	939	742	253	0	0	6457
LT143944LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3221	4078	11696	7057	14228	141271	99023	304045	67113	49859	1961	1995	4047	4297	4434	4632	4091	645	8	0	28811
LT185970RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5103	8178	15678	10215	21723	218968	191514	786053	198041	155263	5368	3385	10459	10734	10066	10307	5676	858	20	0	68573
LT126767LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12418	14876	75504	64422	41723	339017	452795	1892384	879570	504489	16663	28221	31291	32115	32392	19756	15879	3254	35	0	311581
LT013011LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31594	44470	98384	74491	137270	1554969	1137393	3598259	1160735	744398	23997	14072	42132	42110	43445	44690	24019	6985	59	0	279564
LT113005RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32774	38538	346747	139214	114208	906828	797530	2780198	627029	488797	16682	18740	35123	34943	33110	30122	33393	16257	55	0	240212
LT181845RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49067	46900	110833	84052	81374	592359	536765	1389770	478079	360919	17729	14962	30157	28385	32624	32702	17916	6520	37	0	186822
LT166240RM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36708	54421	297577	134688	198892	2614620	1396426	6266972	1174787	894571	23348	16426	42080	39159	40019	31040	39561	12070	31	0	215947
LT099879RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28154	35027	280313	139654	102759	929559	813607	2592120	606914	489944	17717	25358	31117	34311	36827	33715	32995	19002	67	0	231786
LT017495RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45098	53624	272609	127567	142232	1297517	1238369	3438588	1156176	880735	27507	22172	41514	40036	43639	36503	47516	22446	45	0	248033
LT231101RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34129	46511	534265	268101	118417	779939	698431	2297117	773097	769497	25104	60669	40984	34721	42449	24677	56805	34138	56	1	393892
LT178929RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35991	37256	43451	43551	100573	1255575	687729	2191362	524202	448503	12576	7102	22094	23174	22402	21218	9005	1332	28	0	97153
LT038075LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25105	32775	50684	41978	71769	652397	567297	2219094	774814	377631	15021	9777	37024	31553	28451	42067	22170	1484	28	0	269155
LT080750LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39002	39140	107603	71106	70126	497499	514037	2003366	589497	406318	16274	22313	30681	33147	34950	31726	20832	4189	40	0	243274
LT221510LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33258	42587	120308	79366	96516	574394	891722	2617769	1342771	392530	23893	25003	44130	34218	34708	39122	33495	8507	60	0	211245
LT002410RM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20056	34808	102946	62112	81853	802660	613287	1889070	552586	677743	17994	12988	24394	25426	24558	19832	25585	8883	25	0	128197
LT175949LL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26297	28325	28662	37102	66810	807739	547709	1485799	480479	334014	10362	6585	21373	21566	24369	34397	12833	1176	17	0	94459
LT190870RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22268	29784	53572	45725	76623	768127	566403	1632974	492404	367006	11038	7713	18105	18545	17448	18860	15049	4711	22	0	92298
LT150340LU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20042	24843	85476	49736	61481	573064	454345	1520115	484346	616952	15924	9555	21347	26262	23853	18531	22829	11951	29	0	123912
LT121928RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23437	26042	24464	35501	68295	650129	457959	1126850	285945	259302	8336	6334	18240	21644	20945	34616	17941	740	22	0	96211
LT060406RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24574	31101	175035	73106	61982	500676	371097	1075129	275545	284411	8746	9394	18862	17098	18130	23351	25690	7578	31	0	82538
LT077264RU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40966	39161	308771	104554	89680	826725	560643	1988007	392824	304530	12565	14805	23089	27428	31212	28382	26131	11492	22	0	105525
